index,quote,author,tags,likes
21,You can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,books;inspirational;reading;tea,26307
22,"To the well-organized mind, death is but the next great adventure.","J.K. Rowling,",death;inspirational,24954
23,Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,inspirational;life;yourself,24601
24,"Do what you can, with what you have, where you are.",Theodore Roosevelt,inspirational,22963
25,"Listen to the mustn'ts, child. Listen to the don'ts. Listen to the shouldn'ts, the impossibles, the won'ts. Listen to the never haves, then listen close to me... Anything can happen, child. Anything can be.",Shel Silverstein,anything-can-be;hope;impossible;inspirational;musn-t;possibilities;shouldn-t;won-t,22129
26,"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",Helen Keller,inspirational,21945
27,"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston S. Churchill,bravery;courage;failure;inspirational;success,21761
28,"So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.","Stephen Chbosky,",charlie;favourite-books;inspirational;sad;soul-searching;wallflower,21230
29,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon,beatles;connection;dreamers;dreaming;dreams;hope;inspirational;peace,18379
30,"And, when you want something, all the universe conspires in helping you to achieve it.","Paulo Coelho,",inspirational,18157
31,"Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.","Marianne Williamson,",akeelah;fear;inspirational,16703
32,"It’s no use going back to yesterday, because I was a different person then.",Lewis Carroll,alice;humor;inspirational;philosophy-of-life;psychological;yesterday,16460
33,"What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.","Maya Angelou,",1993;advice;complaining;inspirational,14892
34,It's the possibility of having a dream come true that makes life interesting.,"Paulo Coelho,",inspirational,14669
35,"A person's a person, no matter how small.","Dr. Seuss,",inspirational,14552
36,"He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.",Bob Marley,inspirational;love,14375
37,"When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.","Henri Nouwen,",empathy;friends;friendship;inspirational,13735
38,"You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.","Nicholas Sparks,",inspirational;the-notebook,13398
39,Well-behaved women seldom make history.,"Laurel Thatcher Ulrich,",inspirational;misattributed-eleanor-roosevelt;women,12363
40,"When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.",Mahatma Gandhi,despair;evil;goodness;inspirational;love;sadness;truth;victory,11563
41,"So we beat on, boats against the current, borne back ceaselessly into the past.","F. Scott Fitzgerald,",book;inspirational,11409
42,"Nothing is impossible, the word itself says 'I'm possible'!",Audrey Hepburn,attributed-no-source;inspirational,11397
43,"I can't give you a sure-fire formula for success, but I can give you a formula for failure: try to please everybody all the time.",Herbert Bayard Swope,failure;inspirational;misattributed-bill-cosby;success,11105
44,Do what you feel in your heart to be right – for you’ll be criticized anyway.,Eleanor Roosevelt,inspirational,11074
45,"[...]the only people for me are the mad ones, the ones who are mad to live, mad to talk, mad to be saved, desirous of everything at the same time, the ones who never yawn or say a commonplace thing, but burn, burn, burn like fabulous yellow roman candles exploding like spiders across the stars and in the middle you see the blue centerlight pop and everybody goes “Awww!","Jack Kerouac,",freethinker;inspirational;mad,11070
46,Happiness is not something ready made. It comes from your own actions.,Dalai Lama XIV,happiness;inspirational,10808
47,Peace begins with a smile..,Mother Teresa,inspirational;peace;smile;smiling,10710
48,"Never doubt that a small group of thoughtful, committed, citizens can change the world. Indeed, it is the only thing that ever has.",Margaret Mead,activism;attributed-no-source;change;inspirational;life;philosophy;world,10637
49,"Do not read, as children do, to amuse yourself, or like the ambitious, for the purpose of instruction. No, read in order to live.",Gustave Flaubert,books;inspirational;life;reading,10563
50,"Imagining the future is a kind of nostalgia. (...) You spend your whole life stuck in the labyrinth, thinking about how you'll escape it one day, and how awesome it will be, and imagining that future keeps you going, but you never do it. You just use the future to escape the present.","John Green,",inspirational,10509
51,What lies behind us and what lies before us are tiny matters compared to what lies within us.,Ralph Waldo Emerson,inspirational,10278
52,"For attractive lips, speak words of kindness","Sam Levenson,",beauty;charity;inspirational;kindness;misattributed-audrey-hepburn,10214
53,Promise Yoursel,"Christian D. Larson,",happiness;inspirational;love;optimism;strength,9930
54,"Friendship is unnecessary, like philosophy, like art.... It has no survival value; rather it is one of those things which give value to survival.","C.S. Lewis,",friendship;inspirational,9924
55,"Whatever you are, be a good one.",Abraham Lincoln,inspirational,9813
56,"I hope she'll be a fool -- that's the best thing a girl can be in this world, a beautiful little fool.","F. Scott Fitzgerald,",inspirational;women,9705
57,"Two wrongs don't make a right, but they make a good excuse.",Thomas Szasz,humor;inspirational,9591
58,First they ignore you. Then they ridicule you. And then they attack you and want to burn you. And then they build monuments to you.,Nicholas Klein,conflict;fighting;inspirational;misattributed-to-gandhi;trial,9470
59,May you live every day of your life.,Jonathan Swift,inspirational;life;philosophy;wisdom,9340
60,I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,"Robert Fulghum,",hope;imagination;inspirational,8987
61,Who controls the past controls the future. Who controls the present controls the past.,"George Orwell,",inspirational,8799
62,You can't stay in your corner of the Forest waiting for others to come to you. You have to go to them sometimes.,"A.A. Milne,",friendship;inspirational;pooh;winnie,8707
63,Isn't it nice to think that tomorrow is a new day with no mistakes in it yet?,L.M. Montgomery,beginnings;fresh-start;inspirational;mistake;mistakes;new-day;start-over;tomorrow,8519
64,"If my life is going to mean anything, I have to live it myself.","Rick Riordan,",inspirational;life;meaning,8480
65,"You can talk with someone for years, everyday, and still, it won't mean as much as what you can have when you sit in front of someone, not saying a word, yet you feel that person with your heart, you feel like you have known the person for forever.... connections are made with the heart, not the tongue.",C. JoyBell C.,affection;communication;heartwarming;human-connections;human-nature;humanism;humanity;inspirational;inspirational-life;inspirational-love;inspirational-quotes;relationships,8149
66,Hope is the thing with feather,Emily Dickinson,feathers;hope;inspirational;souls,8093
67,"And once the storm is over, you won’t remember how you made it through, how you managed to survive. You won’t even be sure, whether the storm is really over. But one thing is certain. When you come out of the storm, you won’t be the same person who walked in. That’s what this storm’s all about.",haruki murakami,adversity;inspirational;life-lessons;problems;trials,8012
68,"When I was 5 years old, my mother always told me that happiness was the key to life. When I went to school, they asked me what I wanted to be when I grew up. I wrote down ‘happy’. They told me I didn’t understand the assignment, and I told them they didn’t understand life.",John Lennon,inspirational;life,7929
69,Always do what you are afraid to do.,Ralph Waldo Emerson,inspirational,7829
70,Pain is inevitable. Suffering is optional.,"haruki murakami,",inspirational;running,7779
71,Our lives begin to end the day we become silent about things that matter.,"Martin Luther King Jr.,",inspirational,7762
72,If you're reading this..,"Chad Sugg,",alive;congratulations;hope;humanity;inspiration;inspirational;inspire;life;poetry;smile;wisdom,7721
73,"There is neither happiness nor misery in the world; there is only the comparison of one state with another, nothing more. He who has felt the deepest grief is best able to experience supreme happiness. We must have felt what it is to die, Morrel, that we may appreciate the enjoyments of life",Alexandre Dumas,hope;inspirational;wisdom,7709
74,"In the end, we will remember not the words of our enemies, but the silence of our friends.",Martin Luther King Jr.,inspirational,7642
75,"Do not let your fire go out, spark by irreplaceable spark in the hopeless swamps of the not-quite, the not-yet, and the not-at-all. Do not let the hero in your soul perish in lonely frustration for the life you deserved and have never been able to reach. The world you desire can be won. It exists.. it is real.. it is possible.. it's yours.","Ayn Rand,",inspirational;life,7632
76,Talent hits a target no one else can hit. Genius hits a target no one else can see.,Arthur Schopenhauer,inspirational;talent,7570
77,It is so hard to leave—until you leave. And then it is the easiest goddamned thing in the world.,"John Green,",inertia;inspirational;leaving;nerdfighter,7544
78,"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven..","John Milton,",inspirational;religion,7514
79,Fantasy is hardly an escape from reality. It's a way of understanding it.,Lloyd Alexander,fantasy;inspirational;writing,7227
80,Waiting is painful. Forgetting is painful. But not knowing which to do is the worst kind of suffering.,"Paulo Coelho,",inspirational,7194
81,"The world is indeed full of peril, and in it there are many dark places; but still there is much that is fair, and though in all lands love is now mingled with grief, it grows perhaps the greater.","J.R.R. Tolkien,",hope;inspirational;love,7030
82,"Do not go where the path may lead, go instead where there is no path and leave a trail.",Ralph Waldo Emerson,inspirational;life,7008
83,I can be changed by what happens to me. But I refuse to be reduced by it,"Maya Angelou,",be-yourself;inspirational;misquote;self-determination,6953
84,Never let your sense of morals prevent you from doing what is right.,"Isaac Asimov,",humor;inspirational;philosophy;wisdom,6753
85,Hell is empty and all the devils are here.,"William Shakespeare,",inspirational,6736
86,"If you can't fly then run, if you can't run then walk, if you can't walk then crawl, but whatever you do you have to keep moving forward.",Martin Luther King Jr.,inspirational,6721
87,"It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again, because there is no effort without error and shortcoming; but who does actually strive to do the deeds; who knows great enthusiasms, the great devotions; who spends himself in a worthy cause; who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly, so that his place shall never be with those cold and timid souls who neither know victory nor defeat.",Theodore Roosevelt,inspirational;politics;presidential,6670
88,I love to see a young girl go out and grab the world by the lapels. Life's a bitch. You've got to go out and kick ass.,maya angelou,humor;inspirational;life,6577
89,Turn your wounds into wisdom.,Oprah Winfrey,experience;inspirational;pain;wisdom;wounds,6534
90,"When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.","Arthur Conan Doyle,",inspirational,6488
91,"If you remember me, then I don't care if everyone else forgets.","Haruki Murakami,",inspirational;love,6283
92,War is peace,"George Orwell,",freedom;ignorance;inspirational;war,6103
93,Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.,Mahatma Gandhi,god;heart;humanity;inspirational;prayer;religion;souls;weakness,6085
94,Attitude is a choice. Happiness is a choice. Optimism is a choice. Kindness is a choice. Giving is a choice. Respect is a choice. Whatever choice you make makes you. Choose wisely.,"Roy T. Bennett,",attitude;choice;choices;giving;happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;kindness;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;respect,6041
95,It isn't what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is what you think about it.,"Dale Carnegie,",attitude;contentment;happiness;inspirational;life,5936
96,"What I need is the dandelion in the spring. The bright yellow that means rebirth instead of destruction. The promise that life can go on, no matter how bad our losses. That it can be good again.","Suzanne Collins,",inspirational;love,5924
97,"And, in the en","Paul McCartney,",beatles;inspirational;live;love;music,5913
98,The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt,dreams;future;inspirational;misattributed-eleanor-roosevelt,5848
99,"I don't trust people who don't love themselves and tell me, 'I love you.' ... There is an African saying which is: Be careful when a naked person offers you a shirt.",Maya Angelou,1997;annie-clark-tanner-lecture;inspirational;love;trust,5815
100,"I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.",Agatha Christie,inspirational,5781
101,"I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, he will not ask, 'How many good things have you done in your life?' rather he will ask, 'How much love did you put into what you did?",Mother Teresa,inspirational;love,5730
102,"We’re all seeking that special person who is right for us. But if you’ve been through enough relationships, you begin to suspect there’s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isn’t until you finally run up against your deepest demons, your unsolvable problems—the ones that make you truly who you are—that we’re ready to find a lifelong mate. Only then do you finally know what you’re looking for. You’re looking for the wrong person. But not just any wrong person: it's got to be the right wrong person—someone you lovingly gaze upon and think, “This is the problem I want to have.","Andrew  Boyd,",being-loved;completion;inspirational;love;relationships,5607
103,"I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.",Mark Twain,death;inspirational,5428
104,Don't judge each day by the harvest you reap but by the seeds that you plant.,Robert Louis Stevenson,day;inspirational;judge;plant;reap;seed;seeds;sow,5427
105,"But I know, somehow, that only when it is dark enough can you see the stars.","Martin Luther King, Jr.",hope;inspirational,5392
106,None but ourselves can free our minds.,Bob Marley,bob-marley;inspirational;music;reggae,5337
107,Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,"Roy T. Bennett,",dreams;fearless;heart;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;mind;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,5189
108,"Sometimes our light goes out, but is blown again into instant flame by an encounter with another human being.",Albert Schweitzer,inspirational;life;spiritual;uplifting,5165
109,"Simplicity, patience, compassion","Lao Tzu,",inspirational;life;philosophy,5148
110,"The truth is, unless you let go, unless you forgive yourself, unless you forgive the situation, unless you realize that the situation is over, you cannot move forward.","Steve Maraboli,",forgiveness;inspirational;letting-go;life;motivational;moving-forward;truth,5037
111,"Clouds come floating into my life, no longer to carry rain or usher storm, but to add color to my sunset sky.","Rabindranath Tagore,",aspiration;assurance;beauty;clouds;color;conviction;inspirational;maturity;sunset,5026
112,"People say nothing is impossible, but I do nothing every day.","A.A. Milne,",humor;idleness;inspirational,4945
113,"Instead of worrying about what you cannot control, shift your energy to what you can create.","Roy T. Bennett,",creation;creative;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;worry,4935
114,A woman's heart should be so hidden in God that a man has to seek Him just to find her.,Max Lucado,inspirational;love,4875
115,It's kind of fun to do the impossible.,Walt Disney,inspirational,4871
116,"The things you do for yourself are gone when you are gone, but the things you do for others remain as your legacy.",Kalu Ndukwe Kalu,hope;inspiration;inspirational;life;truth,4863
117,"A painter should begin every canvas with a wash of black, because all things in nature are dark except where exposed by the light.",Leonardo da Vinci,art;inspirational,4838
118,Dare to B,"Steve Maraboli,",compassion;dare-to-be;gratitude;inspirational;life;motivational;seize-the-day;smile;success,4835
119,Pain is temporary. Quitting lasts forever.,"Lance Armstrong Sally Jenkins,",cancer;failure;inspiration;inspirational;pain;quitting,4809
120,"When I was a little girl I used to read fairy tales. In fairy tales you meet Prince Charming and he's everything you ever wanted. In fairy tales the bad guy is very easy to spot. The bad guy is always wearing a black cape so you always know who he is. Then you grow up and you realize that Prince Charming is not as easy to find as you thought. You realize the bad guy is not wearing a black cape and he's not easy to spot; he's really funny, and he makes you laugh, and he has perfect hair.",Taylor Swift,fairy-tales;inspirational;prince-charming;taylor-swift,4741
121,"It’s only after you’ve stepped outside your comfort zone that you begin to change, grow, and transform.",Roy T. Bennett,change;focus;grow;growth;inspiration;inspirational;inspirational-quotes;inspire;inspiring;leader;leaders;leadership;life;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;stay-focused;step-out-of-comfort-zone;transform,4714
122,"The most important kind of freedom is to be what you really are. You trade in your reality for a role. You trade in your sense for an act. You give up your ability to feel, and in exchange, put on a mask. There can't be any large-scale revolution until there's a personal revolution, on an individual level. It's got to happen inside first.",Jim MORRISON,freedom;individuality;inspirational;mask;personality;revolution;truth,4693
123,Don't be afraid of your fears. They're not there to scare you. They're there to let you know that something is worth it.,C. JoyBell C.,belief;bravery;courage;fear;fears;inspirational;inspirational-life;inspirational-quotes;strength,4672
124,"I was smiling yesterday,I am smiling today and I will smile tomorrow.Simply because life is too short to cry for anything.","Santosh Kalwar,",cry;inspirational;joke;love;romance;smile,4646
125,All the darkness in the world cannot extinguish the light of a single candle.,"St. Francis Of Assisi,",inspirational,4623
126,"If you want to be happy, do not dwell in the past, do not worry about the future, focus on living fully in the present.","Roy T. Bennett,",focus;future;happiness;happy;inspiration;inspirational;inspirational-quotes;letting-go-of-the-past;life;life-and-living;life-quotes;live;living;living-in-the-present;living-life;living-life-to-the-fullest;living-now;worry,4614
127,You never fail until you stop trying.,Albert Einstein,inspirational,4604
128,"If you want to forget something or someone, never hate it, or never hate him/her. Everything and everyone that you hate is engraved upon your heart; if you want to let go of something, if you want to forget, you cannot hate.",C. JoyBell C.,forgetting;hate;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;letting-go;life;life-and-living;living;strength,4571
129,"More smiling, less worrying. More compassion, less judgment. More blessed, less stressed. More love, less hate.","Roy T. Bennett,",authentic-living;being-positive;blessed;compassion;hate;inspiration;inspirational;inspirational-quotes;judgment;less-more;life;life-purpose;life-quotes;living;love;mind;motivation;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;smile;smiles;spirituality;stress;stressed;worry;worrying,4569
130,"The Chinese use two brush strokes to write the word 'crisis.' One brush stroke stands for danger; the other for opportunity. In a crisis, be aware of the danger--but recognize the opportunity.",John F. Kennedy,chinese;crisis;danger;inspirational;opportunity,4535
131,Hop,Alfred Lord Tennyson,happiness;hope;inspirational;new-year,4518
132,"Stories never really end...even if the books like to pretend they do. Stories always go on. They don't end on the last page, any more than they begin on the first page.","Cornelia Funke,",inspirational,4516
133,"Start writing, no matter what. The water does not flow until the faucet is turned on.",Louis L'Amour,inspirational;writing,4515
134,Why didn't I learn to treat everything like it was the last time. My greatest regret was how much I believed in the future.,"Jonathan Safran Foer,",future;inspirational;life,4471
135,"Take responsibility of your own happiness, never put it in other people’s hands.","Roy T. Bennett,",happiness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;responsibility,4469
136,You're off to Great Places,"Dr. Seuss,",inspirational,4423
137,To see a World in a Grain of San,"William Blake,",inspirational;wonder,4381
138,"Don't say you don't have enough time. You have exactly the same number of hours per day that were given to Helen Keller, Pasteur, Michelangelo, Mother Teresa, Leonardo da Vinci, Thomas Jefferson, and Albert Einstein.",H. Jackson Brown Jr.,inspirational;life,4328
139,"Well, no","Pablo Neruda,",forgetting;heartbreak;inspirational;living;love;moving-on,4311
140,"We have to allow ourselves to be loved by the people who really love us, the people who really matter. Too much of the time, we are blinded by our own pursuits of people to love us, people that don't even matter, while all that time we waste and the people who do love us have to stand on the sidewalk and watch us beg in the streets! It's time to put an end to this. It's time for us to let ourselves be loved.",C. JoyBell C.,growing;humanity;inspirational;inspirational-life;inspirational-love;inspirational-quotes;learning;life-and-living;life-lessons;love;people;real-love;reality;reality-of-life;those-who-love-us;to-be-loved;true-love;what-matters,4292
141,"The secret of health for both mind and body is not to mourn for the past, nor to worry about the future, but to live the present moment wisely and earnestly.","Bukkyo Dendo Kyokai,",inspirational,4270
142,"Life is too short to waste your time on people who don’t respect, appreciate, and value you.","Roy T. Bennett,",appreciate;inspiration;inspirational;inspirational-attitude,4261
143,"The thing about growing up with Fred and George,"" said Ginny thoughtfully, ""is that you sort of start thinking anything's possible if you've got enough nerve.","J. K. Rowling,",inspirational,4244
144,Be mindful. Be grateful. Be positive. Be true. Be kind.,"Roy T. Bennett,",gratitude;inspiration;inspirational;inspirational-quotes;kindness;life;life-and-living;life-quotes;living-life;mindful;mindfulness;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;truth,4239
145,"Once you have tasted flight, you will forever walk the earth with your eyes turned skyward, for there you have been, and there you will always long to return.",Leonardo da Vinci,flight;flying;inspirational,4236
146,"One love, one heart, one destiny.",Robert Marley,bob-marley;compassion;destiny;heart;humanity;inspirational;love,4224
147,Be the reason someone smiles. Be the reason someone feels loved and believes in the goodness in people.,"Roy T. Bennett,",being-human;goodness;human;human-nature;humanism;humanity;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;kindness;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;love;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;smile;smiles,4222
148,"If she's amazing, she won't be easy. If she's easy, she won't be amazing. If she's worth it, you wont give up. If you give up, you're not worthy. ... Truth is, everybody is going to hurt you; you just gotta find the ones worth suffering for.","Bob Marley,",inspirational;love,4191
149,"It's not the face, but the expressions on it. It's not the voice, but what you say. It's not how you look in that body, but the thing you do with it. You are beautiful.","Stephenie Meyer,",inspirational;love,4157
150,"So be sure when you step, Step with care and great tact. And remember that life's A Great Balancing Act. And will you succeed? Yes! You will, indeed! (98 and ¾ percent guaranteed) Kid, you'll move mountains.","Dr. Seuss,",humor;inspirational;success,4159
151,"Do what is right, not what is easy nor what is popular.","Roy T. Bennett,",act;action;do;doing;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;right;truth;what-is-easy;what-is-popular;what-is-right,4152
152,"Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.","Roy T. Bennett,",accept-yourself;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;keep-moving-forward;letting-go;life;life-and-living;life-lessons;life-quotes;living;love-yourself;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,4127
153,"Is 'fat' really the worst thing a human being can be? Is 'fat' worse than 'vindictive', 'jealous', 'shallow', 'vain', 'boring' or 'cruel'? Not to me.",J.K. Rowling,inspirational,4117
154,"Dance, when you're broken open. Dance, if you've torn the bandage off. Dance in the middle of the fighting. Dance in your blood. Dance when you're perfectly free.",Rumi,dance;inspirational,4110
155,Any fool can be happy. It takes a man with real heart to make beauty out of the stuff that makes us weep.,"Clive Barker,",art;inspirational;love;redemption;sadness,4101
156,You is kind. You is smart. You is important.,"Kathryn Stockett,",inspirational,4080
157,Live the Life of Your Dreams: Be brave enough to live the life of your dreams according to your vision and purpose instead of the expectations and opinions of others.,"Roy T. Bennett,",brave;courage;dreams;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;purpose;vision,4038
158,"The past is a place of reference, not a place of residence; the past is a place of learning, not a place of living.","Roy T. Bennett,",inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;learning;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,3997
159,"Understanding is the first step to acceptance, and only with acceptance can there be recovery.","J.K. Rowling,",acceptance;inspiration;inspirational;smart;understanding;wise,3984
160,"If you are irritated by every rub, how will your mirror be polished?",Rumi,inspirational,3981
161,It is the time you have wasted for your rose that makes your rose so important.,"Antoine de Saint-Exupéry,",caring;inspirational;love;roses;time,3971
162,"To me, Fearless is not the absense of fear. It's not being completely unafraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death.",Taylor Swift,fearless;inspirational;love,3969
163,"You see things; you say, 'Why?' But I dream things that never were; and I say 'Why not?","George Bernard Shaw,",inspirational,3957
